| '''Cipher''' || '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:ciphers_simd256 <-] simd256 [wiki:platformsciphers_nslu2-openwrt_simd256 ->] || [wiki:platformsimplementations_nslu2-openwrt_simd256_sphlib-small sphlib-small] || 1678992 || 25016 || 1032 || armeb-linux-uclibc-gcc -pipe -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || [wiki:runs_19 Run 19]
|[wiki:ciphers_bmw512 <-] bmw512 [wiki:platformsciphers_nslu2-openwrt_bmw512 ->] || [wiki:platformsimplementations_nslu2-openwrt_bmw512_sphlib-small sphlib-small] || 363589 || 17980 || 1240 || armeb-linux-uclibc-gcc -pipe -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || [wiki:runs_19 Run 19]
|[wiki:ciphers_simd512 <-] simd512 [wiki:platformsciphers_nslu2-openwrt_simd512 ->] || [wiki:platformsimplementations_nslu2-openwrt_simd512_opt opt] || 3146730 || 38746 || 1468 || armeb-linux-uclibc-gcc -pipe -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || [wiki:runs_19 Run 19]
|[wiki:ciphers_keccakc512 <-] keccakc512 [wiki:platformsciphers_nslu2-openwrt_keccakc512 ->] || [wiki:platformsimplementations_nslu2-openwrt_keccakc512_opt64u6 opt64u6] || 792597 || 97712 || 2308 || armeb-linux-uclibc-gcc -pipe -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || [wiki:runs_19 Run 19]
|[wiki:ciphers_keccak <-] keccak [wiki:platformsciphers_nslu2-openwrt_keccak ->] || [wiki:platformsimplementations_nslu2-openwrt_keccak_opt64u6 opt64u6] || 828407 || 128384 || 2360 || armeb-linux-uclibc-gcc -pipe -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || [wiki:runs_19 Run 19]
|[wiki:ciphers_keccak512 <-] keccak512 [wiki:platformsciphers_nslu2-openwrt_keccak512 ->] || [wiki:platformsimplementations_nslu2-openwrt_keccak512_sphlib-small sphlib-small] || 2292787 || 35780 || 2896 || armeb-linux-uclibc-gcc -pipe -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || [wiki:runs_19 Run 19]
|[wiki:ciphers_keccak256 <-] keccak256 [wiki:platformsciphers_nslu2-openwrt_keccak256 ->] || [wiki:platformsimplementations_nslu2-openwrt_keccak256_sphlib-small sphlib-small] || 1434738 || 35780 || 2928 || armeb-linux-uclibc-gcc -pipe -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || [wiki:runs_19 Run 19]
|[wiki:ciphers_md6d224 <-] md6d224 [wiki:platformsciphers_nslu2-openwrt_md6d224 ->] || [wiki:platformsimplementations_nslu2-openwrt_md6d224_ref ref] || 1386891 || 15912 || 6692 || armeb-linux-uclibc-gcc -pipe -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || [wiki:runs_19 Run 19]
|[wiki:ciphers_md6d256 <-] md6d256 [wiki:platformsciphers_nslu2-openwrt_md6d256 ->] || [wiki:platformsimplementations_nslu2-openwrt_md6d256_ref ref] || 1495402 || 15912 || 6696 || armeb-linux-uclibc-gcc -pipe -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || [wiki:runs_19 Run 19]
|[wiki:ciphers_md6d384 <-] md6d384 [wiki:platformsciphers_nslu2-openwrt_md6d384 ->] || [wiki:platformsimplementations_nslu2-openwrt_md6d384_ref ref] || 1952274 || 15912 || 6712 || armeb-linux-uclibc-gcc -pipe -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || [wiki:runs_19 Run 19]
|[wiki:ciphers_md6d512 <-] md6d512 [wiki:platformsciphers_nslu2-openwrt_md6d512 ->] || [wiki:platformsimplementations_nslu2-openwrt_md6d512_ref ref] || 2393734 || 15912 || 6728 || armeb-linux-uclibc-gcc -pipe -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || [wiki:runs_19 Run 19]
