| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:ciphers_echo256 <-] echo256 [wiki:platformsciphers_fritzbox-7170_echo256 ->] || [wiki:platformsimplementations_fritzbox-7170_echo256_powerpc_pp32cv1 powerpc_pp32cv1] || 1345286 || 24551 || 820 || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_echosp512 <-] echosp512 [wiki:platformsciphers_fritzbox-7170_echosp512 ->] || [wiki:platformsimplementations_fritzbox-7170_echosp512_powerpc_pp32cv1 powerpc_pp32cv1] || 1644590 || 25033 || 820 || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_luffa384 <-] luffa384 [wiki:platformsciphers_fritzbox-7170_luffa384 ->] || [wiki:platformsimplementations_fritzbox-7170_luffa384_arm arm] || 3064593 || 49523 || 840 || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_echo512 <-] echo512 [wiki:platformsciphers_fritzbox-7170_echo512 ->] || [wiki:platformsimplementations_fritzbox-7170_echo512_powerpc_pp32cv1 powerpc_pp32cv1] || 2388220 || 24551 || 852 || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_nasha256 <-] nasha256 [wiki:platformsciphers_fritzbox-7170_nasha256 ->] || [wiki:platformsimplementations_fritzbox-7170_nasha256_opt opt] || 131255 || 14220 || 936 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_simd256 <-] simd256 [wiki:platformsciphers_fritzbox-7170_simd256 ->] || [wiki:platformsimplementations_fritzbox-7170_simd256_sphlib sphlib] || 1818086 || 27532 || 1028 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_lane512 <-] lane512 [wiki:platformsciphers_fritzbox-7170_lane512 ->] || [wiki:platformsimplementations_fritzbox-7170_lane512_c c] || 6824095 || 260403 || 1144 || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_bmw512 <-] bmw512 [wiki:platformsciphers_fritzbox-7170_bmw512 ->] || [wiki:platformsimplementations_fritzbox-7170_bmw512_armcryptolib armcryptolib] || 1017176 || 13001 || 1248 || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_nasha512 <-] nasha512 [wiki:platformsciphers_fritzbox-7170_nasha512 ->] || [wiki:platformsimplementations_fritzbox-7170_nasha512_opt opt] || 142292 || 14220 || 1295 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_25 Run 25]
|[wiki:ciphers_shavite3512 <-] shavite3512 [wiki:platformsciphers_fritzbox-7170_shavite3512 ->] || [wiki:platformsimplementations_fritzbox-7170_shavite3512_low-mem low-mem] || 389722 || 40661 || 1328 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_31 Run 31]
|[wiki:ciphers_sha512 <-] sha512 [wiki:platformsciphers_fritzbox-7170_sha512 ->] || [wiki:platformsimplementations_fritzbox-7170_sha512_sphlib-small sphlib-small] || 248464 || 7990 || 1520 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_simd512 <-] simd512 [wiki:platformsciphers_fritzbox-7170_simd512 ->] || [wiki:platformsimplementations_fritzbox-7170_simd512_opt opt] || 618152 || 21011 || 1856 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_12 Run 12]
