|| '''Cipher''' || '''Implementation'''|| '''Checksumming Cycles''' || ''' Benchmark Cycles (1536 byte)'''|| '''Result''' || '''Compiler''' || 
|| bmw256 || ref_xbx-pruned || 96906862 || 3392500 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| bmw256 || ref_xbx-pruned || 38162329 || 2300236 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| bmw256 || ref_xbx-pruned || 36879895 || 2264008 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| bmw256 || ref_xbx-pruned || 37100684 || 2278522 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| bmw256 || ref_xbx-pruned || 37393920 || 2302300 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| bmw512 || daslabor || 278998864 || 11407253 || Checksum unknown || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| bmw512 || daslabor || 120627766 || 5692368 || Checksum unknown || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| bmw512 || daslabor || 113045282 || 5360174 || Checksum unknown || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| bmw512 || daslabor || 117751511 || 5598679 || Checksum unknown || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| bmw512 || daslabor || 113426449 || 5381383 || Checksum unknown || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| bmw512 || ref || 120121653 || 5684996 || Checksum unknown || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| bmw512 || ref || 117575016 || 5596361 || Checksum unknown || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| bmw512 || ref || 117505369 || 5592863 || Checksum unknown || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash161 || simple || 5057368481 || 605164179 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash161 || simple || 3009798494 || 362859047 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash161 || simple || 2879583210 || 347433502 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash161 || simple || 2724034375 || 333185453 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash161 || simple || 2968278661 || 358051487 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash161 || spec ||  ||  || error || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash161 || spec ||  ||  || error upload_failed || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash161 || spec || 2628244035 || 321860718 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash161 || spec || 2636297399 || 323053255 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash161 || spec || 2840543033 || 347815313 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash1616 || simple || 1336076809 || 46970996 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash1616 || simple || 778738686 || 28200702 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash1616 || simple || 743215116 || 26978902 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash1616 || simple || 676358028 || 26034620 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash1616 || simple || 770214372 || 28342568 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash1616 || spec || 1938458163 || 87927480 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash1616 || spec || 871839093 || 44966052 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash1616 || spec || 759728126 || 40875052 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash1616 || spec || 766181369 || 41828305 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash1616 || spec || 828448003 || 45079387 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash162 || simple || 3072504158 || 307434540 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash162 || simple || 1819724818 || 184347988 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash162 || simple || 1740011821 || 176497775 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash162 || simple || 1631765258 || 169345067 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash162 || simple || 1795791805 || 182178444 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
