| '''Cipher''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib-speed armcryptolib-speed] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 1224446 || 107603 || 10159 (41309) || 52 (992) || 0 (992) || 760(816) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc01 optc01] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 14865069 || 221977 || 160901 (203051) || 44 (988) || 0 (988) || 4872(4920) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc01 optc01] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 10414474 || 178690 || 111261 (144306) || 40 (980) || 0 (980) || 5672(5728) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc01 optc01] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 12996143 || 207349 || 123677 (155122) || 40 (980) || 0 (980) || 7112(7168) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc01 optc01] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 12983450 || 208317 || 123338 (154839) || 40 (980) || 0 (980) || 7136(7192) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc01 optc01] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 13110941 || 208489 || 127565 (158715) || 40 (980) || 0 (980) || 7128(7184) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc02 optc02] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 13504374 || 238527 || 37025 (79175) || 24 (968) || 0 (968) || 760(808) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc02 optc02] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 7543039 || 154654 || 27585 (60630) || 20 (960) || 0 (960) || 1160(1216) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc02 optc02] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 8046738 || 160497 || 28257 (59702) || 20 (960) || 0 (960) || 1752(1808) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc02 optc02] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 7887553 || 160590 || 28134 (59635) || 20 (960) || 0 (960) || 1736(1792) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc02 optc02] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 5617271 || 146558 || 22985 (54135) || 20 (960) || 0 (960) || 1496(1552) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc03 optc03] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 11403056 || 203109 || 24426 (66576) || 12 (956) || 0 (956) || 896(944) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc03 optc03] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 4244757 || 129638 || 18042 (51087) || 8 (948) || 0 (948) || 1272(1328) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc03 optc03] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 5360115 || 138224 || 18794 (50239) || 8 (948) || 0 (948) || 1800(1856) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc03 optc03] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 5450798 || 138357 || 18794 (50295) || 8 (948) || 0 (948) || 1800(1856) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc03 optc03] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 1657840 || 127955 || 15410 (46560) || 8 (948) || 0 (948) || 1464(1520) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc04 optc04] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 12276112 || 220560 || 26282 (68432) || 12 (956) || 0 (956) || 904(952) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc04 optc04] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 4467436 || 131745 || 18186 (51231) || 8 (948) || 0 (948) || 1304(1360) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc04 optc04] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 5222050 || 136833 || 18698 (50143) || 8 (948) || 0 (948) || 1752(1808) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc04 optc04] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 5280947 || 136581 || 18698 (50199) || 8 (948) || 0 (948) || 1752(1808) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc04 optc04] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 1542896 || 125835 || 15266 (46416) || 8 (948) || 0 (948) || 1384(1440) || Checksum OK
