| '''Cipher''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksumming Cycles''' || '''Benchmark Cycles (1536 byte)''' || '''Stack (bytes)''' || '''Result''' 
|[wiki:ciphers_cubehash81 cubehash81] || simple || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -O2 || 4.3.4 (GCC) || 1445325462 || 174119895 || 284 || Checksum OK
|[wiki:ciphers_cubehash81 cubehash81] || simple || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -O3 || 4.3.4 (GCC) || 1362530028 || 166233507 || 960 || Checksum OK
|[wiki:ciphers_cubehash81 cubehash81] || simple || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -Os || 4.3.4 (GCC) || 1492547144 || 179727393 || 278 || Checksum OK
|[wiki:ciphers_cubehash81 cubehash81] || spec || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -O0 || 4.3.4 (GCC) || 3731081127 || 454787722 || 642 || Checksum OK
|[wiki:ciphers_cubehash81 cubehash81] || spec || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -O1 || 4.3.4 (GCC) || 1624892782 || 200644943 || 592 || Checksum OK
|[wiki:ciphers_cubehash81 cubehash81] || spec || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -O2 || 4.3.4 (GCC) || 1402538168 || 173745212 || 628 || Checksum OK
|[wiki:ciphers_cubehash81 cubehash81] || spec || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -O3 || 4.3.4 (GCC) || 1410586804 || 174936996 || 786 || Checksum OK
|[wiki:ciphers_cubehash81 cubehash81] || spec || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -Os || 4.3.4 (GCC) || 1518897322 || 188107363 || 628 || Checksum OK
|[wiki:ciphers_cubehash816 cubehash816] || simple || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -O0 || 4.3.4 (GCC) || 698405594 || 24278600 || 340 || Checksum OK
|[wiki:ciphers_cubehash816 cubehash816] || simple || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -O1 || 4.3.4 (GCC) || 396975322 || 14603407 || 290 || Checksum OK
