| '''Hash''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref_xbx-pruned ref_xbx-pruned] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 12804151 || 374578 || 17613 (59843) || 48 (992) || 0 (2840) || 856(904) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref_xbx-pruned ref_xbx-pruned] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 1852390 || 134700 || 7317 (40410) || 44 (984) || 0 (2840) || 808(864) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref_xbx-pruned ref_xbx-pruned] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 2216169 || 139430 || 7893 (39370) || 44 (984) || 0 (2840) || 1200(1256) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref_xbx-pruned ref_xbx-pruned] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 2079998 || 136038 || 7493 (39026) || 44 (984) || 0 (2836) || 1152(1208) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref_xbx-pruned ref_xbx-pruned] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 2149322 || 138993 || 7589 (38771) || 44 (984) || 0 (2840) || 1200(1256) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 60814863 || 3726642 || 47507 (89737) || 72 (1016) || 0 (2840) || 560(608) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 1817953 || 453057 || 10259 (43352) || 68 (1008) || 0 (2840) || 624(680) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 1807857 || 122960 || 11107 (42584) || 68 (1008) || 0 (2840) || 1304(1360) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 1869389 || 123119 || 11146 (42679) || 68 (1008) || 0 (2836) || 1304(1360) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 2277331 || 123305 || 11355 (42537) || 68 (1008) || 0 (2840) || 1304(1360) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 31535318 || 1653163 || 23897 (66127) || 68 (1012) || 0 (2840) || 632(680) || Checksum OK
